size,accuracy
169,0.0363636363636
170,0.0361010830325
171,0.0465949820789
172,0.0392857142857
173,0.0354609929078
174,0.0316901408451
175,0.0456140350877
176,0.0384615384615
177,0.0384615384615
178,0.0348432055749
179,0.038062283737
180,0.0310344827586
181,0.0310344827586
182,0.0310344827586
183,0.0274914089347
184,0.0376712328767
185,0.0376712328767
186,0.0409556313993
187,0.0440677966102
188,0.0440677966102
189,0.0405405405405
190,0.0369127516779
191,0.0369127516779
192,0.0366666666667
193,0.0265780730897
194,0.023102310231
195,0.0426229508197
196,0.0327868852459
197,0.0359477124183
198,0.042345276873
199,0.0453074433657
200,0.0290322580645
201,0.0289389067524
202,0.038338658147
203,0.0350318471338
204,0.0253968253968
205,0.0348101265823
206,0.0314465408805
207,0.040625
208,0.0341614906832
209,0.033950617284
210,0.0368098159509
211,0.0368098159509
212,0.0368098159509
213,0.0487804878049
214,0.0515151515152
215,0.0451807228916
216,0.0510510510511
217,0.0389221556886
218,0.0417910447761
219,0.0417910447761
220,0.0417910447761
221,0.0356083086053
222,0.0353982300885
223,0.0382352941176
224,0.0439882697947
225,0.0380116959064
226,0.0380116959064
227,0.0379008746356
228,0.0434782608696
229,0.0317002881844
230,0.0401146131805
231,0.045584045584
232,0.0426136363636
233,0.0508474576271
234,0.0393258426966
235,0.0393258426966
236,0.0418994413408
237,0.0388888888889
238,0.0388888888889
239,0.0414364640884
240,0.0414364640884
241,0.043956043956
242,0.0493150684932
243,0.0493150684932
244,0.051912568306
245,0.0435967302452
246,0.0325203252033
247,0.0404312668464
248,0.0456989247312
249,0.0213903743316
250,0.0292553191489
251,0.037037037037
252,0.026455026455
253,0.0342105263158
254,0.0236220472441
255,0.0313315926893
256,0.025974025974
257,0.0284974093264
258,0.0335917312661
259,0.0335051546392
260,0.025641025641
261,0.0229591836735
262,0.0279187817259
263,0.0277777777778
264,0.0327455919395
265,0.0201005025126
266,0.0275689223058
267,0.0299251870324
268,0.0322580645161
269,0.0296296296296
270,0.0172413793103
271,0.02457002457
272,0.0294117647059
273,0.0243902439024
274,0.0145631067961
275,0.0314769975787
276,0.0193236714976
277,0.03125
278,0.0334928229665
279,0.0285714285714
280,0.0284360189573
281,0.0259433962264
282,0.0235294117647
283,0.0210772833724
284,0.027972027972
285,0.0208816705336
286,0.0277136258661
287,0.016091954023
288,0.0137299771167
289,0.0182232346241
290,0.0181405895692
291,0.020316027088
292,0.0224719101124
293,0.0246085011186
294,0.0178571428571
295,0.0155555555556
296,0.019955654102
297,0.0154867256637
298,0.0242290748899
299,0.015350877193
300,0.0262582056893
301,0.0174291938998
302,0.0260303687636
303,0.0280777537797
304,0.0280777537797
305,0.0215053763441
306,0.0215053763441
307,0.019313304721
308,0.0213675213675
309,0.0213675213675
310,0.0213675213675
311,0.0170212765957
312,0.0148305084746
313,0.0168776371308
314,0.0252100840336
315,0.0209205020921
316,0.035490605428
317,0.0270833333333
318,0.0248962655602
319,0.0268595041322
320,0.0247422680412
321,0.0205338809035
322,0.0204918032787
323,0.0204918032787
324,0.0204918032787
325,0.0204918032787
326,0.0224948875256
327,0.0224948875256
328,0.0224948875256
329,0.0224948875256
330,0.0224948875256
331,0.020366598778
332,0.020366598778
333,0.0283975659229
334,0.0222672064777
335,0.0141414141414
336,0.0160965794769
337,0.0180360721443
338,0.0180360721443
339,0.0239520958084
340,0.0258964143426
341,0.0198412698413
342,0.0217391304348
343,0.00984251968504
344,0.0176817288802
345,0.0176125244618
346,0.01953125
347,0.0214007782101
348,0.0194174757282
349,0.0154738878143
350,0.0115606936416
351,0.00959692898273
352,0.0172084130019
353,0.0209523809524
354,0.011385199241
355,0.00756143667297
356,0.00756143667297
357,0.0131826741996
358,0.0168855534709
359,0.018691588785
360,0.0242537313433
361,0.0260223048327
362,0.0166666666667
363,0.020295202952
364,0.0202578268877
365,0.0183486238532
366,0.0219378427788
367,0.0255009107468
368,0.0235934664247
369,0.0144665461121
370,0.00902527075812
371,0.0269784172662
372,0.0268817204301
373,0.0125223613596
374,0.0160427807487
375,0.0195729537367
376,0.0231316725979
377,0.0159574468085
378,0.0194346289753
379,0.0194003527337
380,0.0193321616872
381,0.015761821366
382,0.0122164048866
383,0.0173913043478
384,0.0259965337955
385,0.0207612456747
386,0.0103448275862
387,0.0240549828179
388,0.0137221269297
389,0.0171232876712
390,0.0188034188034
391,0.0204429301533
392,0.0204429301533
393,0.0203735144312
394,0.0186440677966
395,0.0219594594595
396,0.0151515151515
397,0.0151006711409
398,0.0167224080268
399,0.0116666666667
400,0.0182724252492
401,0.0182421227197
402,0.0214876033058
403,0.0181818181818
404,0.0181219110379
405,0.0164473684211
406,0.0213114754098
407,0.0245098039216
408,0.0146818923328
409,0.0146818923328
410,0.0146818923328
411,0.0227642276423
412,0.0211038961039
413,0.0145631067961
414,0.0145161290323
415,0.0145161290323
416,0.0145161290323
417,0.0128617363344
418,0.0176565008026
419,0.0176
420,0.0143769968051
421,0.0175159235669
422,0.00793650793651
423,0.0126782884311
424,0.0158478605388
425,0.0157977883096
426,0.0157977883096
427,0.0204724409449
428,0.0188383045526
429,0.0156739811912
430,0.0140625
431,0.0233644859813
432,0.0248447204969
433,0.0216718266254
434,0.0154320987654
435,0.0169230769231
436,0.0199386503067
437,0.019877675841
438,0.0106707317073
439,0.015243902439
440,0.016717325228
441,0.0212443095599
442,0.0105900151286
443,0.0226586102719
444,0.0150829562594
445,0.0195488721805
446,0.0195488721805
447,0.0195488721805
448,0.0164917541229
449,0.0194610778443
450,0.0134328358209
451,0.0178837555887
452,0.0119047619048
453,0.0163447251114
454,0.0192878338279
455,0.0133136094675
